pizza_id,quantity,date,time,size,price,category
hawaiian_m,1,2015-01-03,14:22:10,M,13.25,Classic
the_greek_xl,1,2015-01-03,14:32:51,XL,25.5,Classic
mediterraneo_s,1,2015-01-03,14:40:42,S,12,Veggie
spinach_fet_m,1,2015-01-03,14:48:45,M,16,Veggie
pepperoni_m,1,2015-01-03,14:49:58,M,12.5,Classic
southw_ckn_l,1,2015-01-03,15:09:34,L,20.75,Chicken
spinach_supr_s,1,2015-01-03,15:09:34,S,12.5,Supreme
hawaiian_s,1,2015-01-03,15:09:42,S,10.5,Classic
spinach_fet_l,1,2015-01-03,15:09:42,L,20.25,Veggie
thai_ckn_s,1,2015-01-03,15:09:42,S,12.75,Chicken
the_greek_m,1,2015-01-03,15:09:42,M,16,Classic
mexicana_m,1,2015-01-03,15:16:34,M,16,Veggie
prsc_argla_s,1,2015-01-03,15:22:43,S,12.5,Supreme
ckn_pesto_s,1,2015-01-03,15:28:59,S,12.75,Chicken
napolitana_l,1,2015-01-03,15:28:59,L,20.5,Classic
pepperoni_l,1,2015-01-03,15:28:59,L,15.25,Classic
peppr_salami_l,1,2015-01-03,15:28:59,L,20.75,Supreme
napolitana_m,1,2015-01-03,15:42:19,M,16,Classic
thai_ckn_l,1,2015-01-03,15:42:19,L,20.75,Chicken
ital_supr_l,1,2015-01-03,15:43:03,L,20.75,Supreme
mediterraneo_m,1,2015-01-03,15:43:03,M,16,Veggie
sicilian_m,1,2015-01-03,15:43:03,M,16.25,Supreme
spin_pesto_m,1,2015-01-03,15:43:03,M,16.5,Veggie
ital_veggie_m,1,2015-01-03,15:54:30,M,16.75,Veggie
thai_ckn_m,1,2015-01-03,15:54:30,M,16.75,Chicken
four_cheese_l,1,2015-01-03,15:59:22,L,17.950000762939453,Veggie
thai_ckn_m,1,2015-01-03,15:59:22,M,16.75,Chicken
classic_dlx_m,1,2015-01-03,16:35:33,M,16,Classic
hawaiian_s,1,2015-01-03,16:43:46,S,10.5,Classic
spicy_ital_m,1,2015-01-03,16:43:46,M,16.5,Supreme
the_greek_xl,1,2015-01-03,16:43:46,XL,25.5,Classic
big_meat_s,1,2015-01-03,16:51:22,S,12,Classic
hawaiian_m,1,2015-01-03,16:54:54,M,13.25,Classic
pepperoni_l,1,2015-01-03,16:54:54,L,15.25,Classic
the_greek_m,1,2015-01-03,16:54:54,M,16,Classic
cali_ckn_l,1,2015-01-03,16:56:33,L,20.75,Chicken
pepperoni_m,1,2015-01-03,16:56:33,M,12.5,Classic
prsc_argla_m,1,2015-01-03,16:57:37,M,16.5,Supreme
prsc_argla_s,1,2015-01-03,16:58:51,S,12.5,Supreme
bbq_ckn_l,1,2015-01-03,17:00:49,L,20.75,Chicken
ital_supr_m,1,2015-01-03,17:00:49,M,16.5,Supreme
pepperoni_m,1,2015-01-03,17:00:49,M,12.5,Classic
big_meat_s,1,2015-01-03,17:02:27,S,12,Classic
veggie_veg_m,1,2015-01-03,17:02:27,M,16,Veggie
four_cheese_l,1,2015-01-03,17:15:48,L,17.950000762939453,Veggie
ital_cpcllo_s,1,2015-01-03,17:15:48,S,12,Classic
sicilian_m,1,2015-01-03,17:15:48,M,16.25,Supreme
hawaiian_l,1,2015-01-03,17:21:31,L,16.5,Classic
napolitana_m,1,2015-01-03,17:23:03,M,16,Classic
napolitana_s,1,2015-01-03,17:29:24,S,12,Classic
spinach_supr_m,1,2015-01-03,17:29:24,M,16.5,Supreme
thai_ckn_l,1,2015-01-03,17:29:24,L,20.75,Chicken
cali_ckn_m,1,2015-01-03,17:35:30,M,16.75,Chicken
classic_dlx_m,1,2015-01-03,17:35:30,M,16,Classic
veggie_veg_l,1,2015-01-03,17:35:30,L,20.25,Veggie
big_meat_s,1,2015-01-03,17:37:49,S,12,Classic
cali_ckn_l,1,2015-01-03,17:37:49,L,20.75,Chicken
cali_ckn_m,1,2015-01-03,17:37:49,M,16.75,Chicken
ital_cpcllo_m,1,2015-01-03,17:37:49,M,16,Classic
ital_supr_l,1,2015-01-03,17:50:51,L,20.75,Supreme
cali_ckn_l,1,2015-01-03,17:51:57,L,20.75,Chicken
peppr_salami_m,1,2015-01-03,17:51:57,M,16.5,Supreme
napolitana_s,1,2015-01-03,17:54:36,S,12,Classic
thai_ckn_l,1,2015-01-03,17:54:36,L,20.75,Chicken
peppr_salami_l,1,2015-01-03,18:15:03,L,20.75,Supreme
hawaiian_l,1,2015-01-03,18:20:14,L,16.5,Classic
sicilian_m,1,2015-01-03,18:20:14,M,16.25,Supreme
veggie_veg_s,1,2015-01-03,18:20:14,S,12,Veggie
classic_dlx_l,1,2015-01-03,18:33:34,L,20.5,Classic
prsc_argla_l,1,2015-01-03,18:33:34,L,20.75,Supreme
mexicana_l,1,2015-01-03,18:49:32,L,20.25,Veggie
brie_carre_s,1,2015-01-03,18:50:10,S,23.649999618530273,Supreme
peppr_salami_l,1,2015-01-03,18:50:10,L,20.75,Supreme
napolitana_m,1,2015-01-03,18:54:55,M,16,Classic
spin_pesto_l,1,2015-01-03,18:54:55,L,20.75,Veggie
spin_pesto_s,1,2015-01-03,18:54:55,S,12.5,Veggie
hawaiian_l,1,2015-01-03,18:59:05,L,16.5,Classic
sicilian_m,1,2015-01-03,19:08:33,M,16.25,Supreme
spin_pesto_s,1,2015-01-03,19:08:33,S,12.5,Veggie
mexicana_l,1,2015-01-03,19:36:00,L,20.25,Veggie
southw_ckn_l,1,2015-01-03,19:36:00,L,20.75,Chicken
spin_pesto_l,1,2015-01-03,19:36:00,L,20.75,Veggie
thai_ckn_l,1,2015-01-03,19:36:00,L,20.75,Chicken
five_cheese_l,1,2015-01-03,19:37:12,L,18.5,Veggie
spin_pesto_l,1,2015-01-03,19:37:12,L,20.75,Veggie
five_cheese_l,1,2015-01-03,20:08:39,L,18.5,Veggie
pepperoni_s,1,2015-01-03,20:08:39,S,9.75,Classic
peppr_salami_l,1,2015-01-03,20:08:39,L,20.75,Supreme
big_meat_s,2,2015-01-03,20:12:14,S,12,Classic
thai_ckn_s,1,2015-01-03,20:12:14,S,12.75,Chicken
bbq_ckn_l,1,2015-01-03,20:14:23,L,20.75,Chicken
four_cheese_m,1,2015-01-03,20:14:23,M,14.75,Veggie
pep_msh_pep_s,1,2015-01-03,20:14:23,S,11,Classic
prsc_argla_l,1,2015-01-03,20:14:23,L,20.75,Supreme
cali_ckn_l,1,2015-01-03,20:24:50,L,20.75,Chicken
ckn_alfredo_m,1,2015-01-03,20:24:50,M,16.75,Chicken
sicilian_s,1,2015-01-03,20:30:08,S,12.25,Supreme
southw_ckn_l,1,2015-01-03,20:30:08,L,20.75,Chicken
big_meat_s,1,2015-01-03,20:55:47,S,12,Classic
cali_ckn_m,1,2015-01-03,20:55:47,M,16.75,Chicken
ckn_alfredo_l,2,2015-01-03,20:55:47,L,20.75,Chicken
bbq_ckn_s,1,2015-01-03,21:21:24,S,12.75,Chicken
bbq_ckn_l,1,2015-01-03,21:25:20,L,20.75,Chicken
sicilian_s,1,2015-01-03,21:40:14,S,12.25,Supreme
spicy_ital_m,1,2015-01-03,21:40:14,M,16.5,Supreme
veggie_veg_m,1,2015-01-03,21:40:14,M,16,Veggie
four_cheese_l,1,2015-01-03,21:47:48,L,17.950000762939453,Veggie
ital_cpcllo_l,1,2015-01-03,21:47:48,L,20.5,Classic
ital_veggie_l,1,2015-01-03,21:47:48,L,21,Veggie
soppressata_l,1,2015-01-03,21:47:48,L,20.75,Supreme
big_meat_s,1,2015-01-03,21:55:42,S,12,Classic
ckn_alfredo_l,1,2015-01-03,21:55:42,L,20.75,Chicken
ckn_alfredo_m,1,2015-01-03,22:10:38,M,16.75,Chicken
the_greek_xl,1,2015-01-03,22:24:05,XL,25.5,Classic
calabrese_m,1,2015-01-03,22:29:59,M,16.25,Supreme
ckn_pesto_l,1,2015-01-03,22:29:59,L,20.75,Chicken
ital_supr_l,1,2015-01-03,22:29:59,L,20.75,Supreme
the_greek_xl,1,2015-01-03,22:29:59,XL,25.5,Classic
cali_ckn_s,1,2015-01-03,22:50:29,S,12.75,Chicken
cali_ckn_l,1,2015-01-04,11:30:48,L,20.75,Chicken
ital_veggie_m,1,2015-01-04,11:30:48,M,16.75,Veggie
pep_msh_pep_l,1,2015-01-04,11:30:48,L,17.5,Classic
the_greek_s,1,2015-01-04,11:30:48,S,12,Classic
spicy_ital_l,1,2015-01-04,11:36:25,L,20.75,Supreme
cali_ckn_s,1,2015-01-04,11:43:54,S,12.75,Chicken
ckn_alfredo_m,1,2015-01-04,11:43:54,M,16.75,Chicken
prsc_argla_s,1,2015-01-04,11:43:54,S,12.5,Supreme
napolitana_m,1,2015-01-04,11:45:10,M,16,Classic
pepperoni_s,1,2015-01-04,11:45:10,S,9.75,Classic
spicy_ital_l,1,2015-01-04,11:45:10,L,20.75,Supreme
spicy_ital_l,1,2015-01-04,12:03:58,L,20.75,Supreme
bbq_ckn_l,1,2015-01-04,12:12:05,L,20.75,Chicken
bbq_ckn_s,1,2015-01-04,12:12:05,S,12.75,Chicken
ckn_alfredo_m,1,2015-01-04,12:12:05,M,16.75,Chicken
pepperoni_m,1,2015-01-04,12:12:05,M,12.5,Classic
the_greek_m,1,2015-01-04,12:12:05,M,16,Classic
cali_ckn_l,1,2015-01-04,12:29:17,L,20.75,Chicken
spinach_fet_s,1,2015-01-04,12:34:13,S,12,Veggie
pepperoni_s,1,2015-01-04,12:54:20,S,9.75,Classic
ital_cpcllo_l,1,2015-01-04,13:16:03,L,20.5,Classic
four_cheese_l,1,2015-01-04,13:20:39,L,17.950000762939453,Veggie
ital_cpcllo_l,1,2015-01-04,13:39:16,L,20.5,Classic
ital_supr_m,1,2015-01-04,13:39:16,M,16.5,Supreme
mexicana_s,1,2015-01-04,13:39:16,S,12,Veggie
spin_pesto_m,1,2015-01-04,13:39:16,M,16.5,Veggie
green_garden_s,1,2015-01-04,13:44:49,S,12,Veggie
bbq_ckn_m,1,2015-01-04,14:31:56,M,16.75,Chicken
five_cheese_l,1,2015-01-04,14:31:56,L,18.5,Veggie
hawaiian_l,1,2015-01-04,14:31:56,L,16.5,Classic
classic_dlx_m,1,2015-01-04,14:35:03,M,16,Classic
spinach_fet_s,1,2015-01-04,14:35:03,S,12,Veggie
spicy_ital_m,1,2015-01-04,14:35:11,M,16.5,Supreme
bbq_ckn_l,1,2015-01-04,14:42:01,L,20.75,Chicken
five_cheese_l,1,2015-01-04,14:42:01,L,18.5,Veggie
peppr_salami_m,1,2015-01-04,14:42:01,M,16.5,Supreme
spinach_fet_m,1,2015-01-04,14:42:01,M,16,Veggie
hawaiian_s,1,2015-01-04,15:31:59,S,10.5,Classic
ital_cpcllo_s,1,2015-01-04,15:31:59,S,12,Classic
napolitana_l,1,2015-01-04,15:31:59,L,20.5,Classic
spicy_ital_l,1,2015-01-04,15:31:59,L,20.75,Supreme
five_cheese_l,1,2015-01-04,15:33:18,L,18.5,Veggie
prsc_argla_m,1,2015-01-04,15:33:18,M,16.5,Supreme
the_greek_s,1,2015-01-04,15:33:18,S,12,Classic
four_cheese_l,1,2015-01-04,15:46:38,L,17.950000762939453,Veggie
sicilian_s,1,2015-01-04,15:46:38,S,12.25,Supreme
pep_msh_pep_s,1,2015-01-04,16:08:20,S,11,Classic
ckn_alfredo_s,1,2015-01-04,16:39:58,S,12.75,Chicken
ital_supr_m,1,2015-01-04,16:39:58,M,16.5,Supreme
napolitana_m,1,2015-01-04,16:39:58,M,16,Classic
thai_ckn_l,1,2015-01-04,16:39:58,L,20.75,Chicken
bbq_ckn_l,1,2015-01-04,16:41:48,L,20.75,Chicken
bbq_ckn_m,1,2015-01-04,16:41:48,M,16.75,Chicken
southw_ckn_s,1,2015-01-04,16:41:48,S,12.75,Chicken
classic_dlx_l,1,2015-01-04,16:59:39,L,20.5,Classic
bbq_ckn_m,1,2015-01-04,17:24:39,M,16.75,Chicken
the_greek_xl,1,2015-01-19,12:00:52,XL,25.5,Classic
big_meat_s,1,2015-01-19,12:03:57,S,12,Classic
ckn_pesto_l,1,2015-01-19,12:03:57,L,20.75,Chicken
spin_pesto_m,1,2015-01-19,12:03:57,M,16.5,Veggie
bbq_ckn_l,1,2015-01-19,12:14:24,L,20.75,Chicken
cali_ckn_m,1,2015-01-19,12:14:24,M,16.75,Chicken
hawaiian_l,1,2015-01-19,12:14:24,L,16.5,Classic
ital_supr_s,1,2015-01-19,12:14:24,S,12.5,Supreme
ital_veggie_m,1,2015-01-19,12:14:24,M,16.75,Veggie
ital_veggie_s,1,2015-01-19,12:14:24,S,12.75,Veggie
napolitana_l,1,2015-01-19,12:14:24,L,20.5,Classic
pepperoni_s,1,2015-01-19,12:20:28,S,9.75,Classic
bbq_ckn_l,1,2015-01-19,12:23:38,L,20.75,Chicken
cali_ckn_s,1,2015-01-19,12:23:38,S,12.75,Chicken
hawaiian_s,1,2015-01-19,12:23:38,S,10.5,Classic
classic_dlx_m,1,2015-01-19,12:33:24,M,16,Classic
ital_supr_m,1,2015-01-19,12:33:24,M,16.5,Supreme
napolitana_l,1,2015-01-19,12:33:24,L,20.5,Classic
pepperoni_l,1,2015-01-19,12:33:24,L,15.25,Classic
prsc_argla_s,1,2015-01-19,12:33:24,S,12.5,Supreme
brie_carre_s,1,2015-01-19,12:33:50,S,23.649999618530273,Supreme
ckn_pesto_l,1,2015-01-19,12:33:50,L,20.75,Chicken
cali_ckn_s,1,2015-01-19,12:47:24,S,12.75,Chicken
four_cheese_l,1,2015-01-19,12:47:24,L,17.950000762939453,Veggie
ckn_pesto_l,1,2015-01-19,12:56:45,L,20.75,Chicken
five_cheese_l,1,2015-01-19,12:56:45,L,18.5,Veggie
four_cheese_l,2,2015-01-19,12:56:45,L,17.950000762939453,Veggie
mediterraneo_l,1,2015-01-19,12:56:45,L,20.25,Veggie
mediterraneo_s,1,2015-01-19,12:56:45,S,12,Veggie
napolitana_l,2,2015-01-19,12:56:45,L,20.5,Classic
napolitana_m,1,2015-01-19,12:56:45,M,16,Classic
pep_msh_pep_l,1,2015-01-19,12:56:45,L,17.5,Classic
prsc_argla_l,1,2015-01-19,12:56:45,L,20.75,Supreme
soppressata_l,1,2015-01-19,12:56:45,L,20.75,Supreme
spicy_ital_l,2,2015-01-19,12:56:45,L,20.75,Supreme
veggie_veg_l,1,2015-01-19,12:56:45,L,20.25,Veggie
bbq_ckn_l,1,2015-01-19,13:02:07,L,20.75,Chicken
napolitana_l,1,2015-01-19,13:25:39,L,20.5,Classic
